Product Name,Product Price,Item Number/SKU/Product Code,Model Number,Product Category,Product Description
Quill Brand® ,$28.99 $25.99,Item #: 901-745215,Model #: 745215,Hanging File Folders,Standard green 11 pt. stock 1/5-cut Metal hanging rods have a tough coating that can't chip so folders glide smoothly on rails
Staples Reinforced Box Bottom Hanging File Folder,$26.99,Item #: 901-884240,Model #: 20027-cc,Hanging File Folders,Comes in standard green color and is made of 10.6-point paper stock and 128# basis weight for durability Five assorted-position top tabs allow for ample space for labeling to keep your files organized Rely on the box bottom design of these file folders to hold larger files easily; file folder tabs are detachable; tear-resistant
Quill Brand®,$19.99 $17.99,Item #: 901-76215AD,Model #: 76215AD,Hanging File Folders,Assorted color folders have superior durability with poly laminated reinforcement at critical stress points 1/5-cut 10 times stronger than folders without laminated reinforcements
Quill Brand® ,$16.59 $14.99,Item #: 901-76215P,Model #: 16403USCC,Hanging File Folders,Green folders have superior durability with poly laminated reinforcement at critical stress points 1/5-cut 10 times stronger than folders without laminated reinforcements
Pendaflex SureHook 5-Tab Hanging File Folders,$28.99 $27.99,Item #: 901-615215AD,Model #: 6152 1/5 ASST,Hanging File Folders,"11-point stock in five colors  including blue, red, yellow,bright green and orange Built-in tension springs and longer hooks for durability and security Dimensions: 13"" x 9.56"" x 2.81"""
Staples Hanging File Folder,$25.99,Item #: 901-163501,Model #: TR163501,Hanging File Folders,Colored hanging file folder made of tear-resistant blue material with durable coated hooks Five top-position tabs allow you to customize your files File folder tabs are detachable
Staples Reinforced Box Bottom Hanging File Folders,$39.99,Item #: 901-884239,Model #: 20028-CC,Hanging File Folders,Comes in assorted colors and made of reinforced 11-point kraft Five top tabs to keep your files organized Features coated hanger  box bottom reinforced bottom and is wear- and tear-resistant
Pendaflex SureHook Reinforced Hanging File Folders,$38.99 $36.99,Item #: 901-784623,Model #: 6152X2,Hanging File Folders,Standard green paper stock folders hold up to wear and tear Poly-reinforced top edge and bottom folds provide added durability Accommodates letter-size papers and files
Quill Brand® ,$16.59 $15.59,Item #: 901-7Q5215,Model #: 7Q5215,Hanging File Folders,Standard dark green 11 pt. stock 1/5-cut Letter size
Staples Hanging File Folder,$24.79,Item #: 901-163535,Model #: TR163535,Hanging File Folders,Comes in red color and is made of 10.5-point paper stock with 114# basis weight for durability Five assorted-position top tabs allow for ample space for labeling to keep your files organized File folder tabs are detachable and tear-resistant
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,, ,
